video_id,Frame,Grasper,Bipolar,Hook,Scissors,Clipper,Irrigator,SpecimenBag,Phase,time_sec,image_path,split
video01,0,1,0,0,0,0,0,0,Preparation,0.0,/content/data/cholec80_subset/frames_1fps/video01/video01_frame_000000.jpg,test
video01,25,1,0,0,0,0,0,0,Preparation,1.0,/content/data/cholec80_subset/frames_1fps/video01/video01_frame_000025.jpg,test
video01,50,1,0,0,0,0,0,0,Preparation,2.0,/content/data/cholec80_subset/frames_1fps/video01/video01_frame_000050.jpg,test
video01,75,1,0,0,0,0,0,0,Preparation,3.0,/content/data/cholec80_subset/frames_1fps/video01/video01_frame_000075.jpg,test
video01,100,0,0,0,0,0,0,0,Preparation,4.0,/content/data/cholec80_subset/frames_1fps/video01/video01_frame_000100.jpg,test
video01,125,0,0,0,0,0,0,0,Preparation,5.0,/content/data/cholec80_subset/frames_1fps/video01/video01_frame_000125.jpg,test
video01,150,0,0,0,0,0,0,0,Preparation,6.0,/content/data/cholec80_subset/frames_1fps/video01/video01_frame_000150.jpg,test
video01,175,1,0,0,0,0,0,0,Preparation,7.0,/content/data/cholec80_subset/frames_1fps/video01/video01_frame_000175.jpg,test
video01,200,1,0,0,0,0,0,0,Preparation,8.0,/content/data/cholec80_subset/frames_1fps/video01/video01_frame_000200.jpg,test
video01,225,1,0,0,0,0,0,0,Preparation,9.0,/content/data/cholec80_subset/frames_1fps/video01/video01_frame_000225.jpg,test
video01,250,1,0,0,0,0,0,0,Preparation,10.0,/content/data/cholec80_subset/frames_1fps/video01/video01_frame_000250.jpg,test
video01,275,1,0,0,0,0,0,0,Preparation,11.0,/content/data/cholec80_subset/frames_1fps/video01/video01_frame_000275.jpg,test
video01,300,1,0,0,0,0,0,0,Preparation,12.0,/content/data/cholec80_subset/frames_1fps/video01/video01_frame_000300.jpg,test
video01,325,1,0,0,0,0,0,0,Preparation,13.0,/content/data/cholec80_subset/frames_1fps/video01/video01_frame_000325.jpg,test
video01,350,1,0,0,0,0,0,0,Preparation,14.0,/content/data/cholec80_subset/frames_1fps/video01/video01_frame_000350.jpg,test
video01,375,1,0,0,0,0,0,0,Preparation,15.0,/content/data/cholec80_subset/frames_1fps/video01/video01_frame_000375.jpg,test
video01,400,1,0,0,0,0,0,0,Preparation,16.0,/content/data/cholec80_subset/frames_1fps/video01/video01_frame_000400.jpg,test
video01,425,1,0,0,0,0,0,0,Preparation,17.0,/content/data/cholec80_subset/frames_1fps/video01/video01_frame_000425.jpg,test
video01,450,1,0,0,0,0,0,0,Preparation,18.0,/content/data/cholec80_subset/frames_1fps/video01/video01_frame_000450.jpg,test
video01,475,1,0,1,0,0,0,0,Preparation,19.0,/content/data/cholec80_subset/frames_1fps/video01/video01_frame_000475.jpg,test
